voice,language,language_code,gender,service
ja-JP-Standard-A,Japanese,ja-JP,FEMALE,google
ja-JP-Neural2-B,Japanese,ja-JP,FEMALE,google
ja-JP-Wavenet-B,Japanese,ja-JP,FEMALE,google
ja-JP-Neural2-D,Japanese,ja-JP,MALE,google
kn-IN-Standard-A,NA,kn-IN,FEMALE,google
kn-IN-Standard-B,NA,kn-IN,MALE,google
kn-IN-Wavenet-A,NA,kn-IN,FEMALE,google
kn-IN-Wavenet-B,NA,kn-IN,MALE,google
ko-KR-Wavenet-A,Korean,ko-KR,FEMALE,google
ko-KR-Standard-D,Korean,ko-KR,MALE,google
ko-KR-Standard-B,Korean,ko-KR,FEMALE,google
ko-KR-Neural2-A,Korean,ko-KR,FEMALE,google
ko-KR-Wavenet-C,Korean,ko-KR,MALE,google
ko-KR-Wavenet-B,Korean,ko-KR,FEMALE,google
ko-KR-Standard-C,Korean,ko-KR,MALE,google
ko-KR-Neural2-B,Korean,ko-KR,FEMALE,google
ko-KR-Standard-A,Korean,ko-KR,FEMALE,google
ko-KR-Wavenet-D,Korean,ko-KR,MALE,google
ko-KR-Neural2-C,Korean,ko-KR,MALE,google
lt-LT-Standard-A,NA,lt-LT,MALE,google
lv-LV-Standard-A,NA,lv-LV,MALE,google
ml-IN-Wavenet-A,NA,ml-IN,FEMALE,google
ml-IN-Wavenet-B,NA,ml-IN,MALE,google
ml-IN-Wavenet-C,NA,ml-IN,FEMALE,google
ml-IN-Wavenet-D,NA,ml-IN,MALE,google
ml-IN-Standard-A,NA,ml-IN,FEMALE,google
ml-IN-Standard-B,NA,ml-IN,MALE,google
mr-IN-Standard-A,NA,mr-IN,FEMALE,google
mr-IN-Standard-B,NA,mr-IN,MALE,google
mr-IN-Standard-C,NA,mr-IN,FEMALE,google
mr-IN-Wavenet-A,NA,mr-IN,FEMALE,google
mr-IN-Wavenet-B,NA,mr-IN,MALE,google
mr-IN-Wavenet-C,NA,mr-IN,FEMALE,google
ms-MY-Wavenet-C,Malay,ms-MY,FEMALE,google
ms-MY-Standard-C,Malay,ms-MY,FEMALE,google
ms-MY-Wavenet-B,Malay,ms-MY,MALE,google
ms-MY-Standard-D,Malay,ms-MY,MALE,google
ms-MY-Standard-B,Malay,ms-MY,MALE,google
ms-MY-Wavenet-A,Malay,ms-MY,FEMALE,google
ms-MY-Wavenet-D,Malay,ms-MY,MALE,google
ms-MY-Standard-A,Malay,ms-MY,FEMALE,google
nb-NO-Wavenet-E,Norwegian,nb-NO,FEMALE,google
nb-NO-Wavenet-D,Norwegian,nb-NO,MALE,google
nb-NO-Standard-B,Norwegian,nb-NO,MALE,google
nb-NO-Standard-E,Norwegian,nb-NO,FEMALE,google
nb-NO-Wavenet-C,Norwegian,nb-NO,FEMALE,google
nb-NO-Wavenet-B,Norwegian,nb-NO,MALE,google
nb-NO-Standard-D,Norwegian,nb-NO,MALE,google
nb-NO-Standard-C,Norwegian,nb-NO,FEMALE,google
nb-NO-Wavenet-A,Norwegian,nb-NO,FEMALE,google
nb-NO-Standard-A,Norwegian,nb-NO,FEMALE,google
nl-BE-Standard-A,NA,nl-BE,FEMALE,google
nl-BE-Standard-B,NA,nl-BE,MALE,google
nl-BE-Wavenet-B,NA,nl-BE,MALE,google
nl-BE-Wavenet-A,NA,nl-BE,FEMALE,google
nl-NL-Wavenet-C,Dutch,nl-NL,MALE,google
nl-NL-Standard-B,Dutch,nl-NL,MALE,google
nl-NL-Wavenet-B,Dutch,nl-NL,MALE,google
nl-NL-Standard-A,Dutch,nl-NL,FEMALE,google
nl-NL-Wavenet-E,Dutch,nl-NL,FEMALE,google
nl-NL-Standard-E,Dutch,nl-NL,FEMALE,google
nl-NL-Standard-C,Dutch,nl-NL,MALE,google
nl-NL-Wavenet-D,Dutch,nl-NL,FEMALE,google
nl-NL-Wavenet-A,Dutch,nl-NL,FEMALE,google
nl-NL-Standard-D,Dutch,nl-NL,FEMALE,google
pa-IN-Standard-A,NA,pa-IN,FEMALE,google
pa-IN-Standard-B,NA,pa-IN,MALE,google
pa-IN-Standard-C,NA,pa-IN,FEMALE,google
pa-IN-Standard-D,NA,pa-IN,MALE,google
pa-IN-Wavenet-C,NA,pa-IN,FEMALE,google
pa-IN-Wavenet-D,NA,pa-IN,MALE,google
pa-IN-Wavenet-B,NA,pa-IN,MALE,google
pa-IN-Wavenet-A,NA,pa-IN,FEMALE,google
pl-PL-Standard-B,Polish,pl-PL,MALE,google
pl-PL-Wavenet-B,Polish,pl-PL,MALE,google
pl-PL-Wavenet-A,Polish,pl-PL,FEMALE,google
pl-PL-Wavenet-D,Polish,pl-PL,FEMALE,google
pl-PL-Standard-E,Polish,pl-PL,FEMALE,google
pl-PL-Standard-D,Polish,pl-PL,FEMALE,google
pl-PL-Wavenet-E,Polish,pl-PL,FEMALE,google
pl-PL-Standard-A,Polish,pl-PL,FEMALE,google
pl-PL-Wavenet-C,Polish,pl-PL,MALE,google
pl-PL-Standard-C,Polish,pl-PL,MALE,google
pt-BR-Neural2-C,Portuguese (Brazil),pt-BR,FEMALE,google
pt-BR-Standard-A,Portuguese (Brazil),pt-BR,FEMALE,google
pt-BR-Wavenet-C,Portuguese (Brazil),pt-BR,FEMALE,google
pt-BR-Standard-C,Portuguese (Brazil),pt-BR,FEMALE,google
pt-BR-Neural2-A,Portuguese (Brazil),pt-BR,FEMALE,google
pt-BR-Wavenet-B,Portuguese (Brazil),pt-BR,MALE,google
pt-BR-Standard-B,Portuguese (Brazil),pt-BR,MALE,google
pt-BR-Wavenet-A,Portuguese (Brazil),pt-BR,FEMALE,google
pt-BR-Neural2-B,Portuguese (Brazil),pt-BR,MALE,google
pt-PT-Wavenet-C,Portuguese (Portugal),pt-PT,MALE,google
pt-PT-Standard-A,Portuguese (Portugal),pt-PT,FEMALE,google
pt-PT-Standard-C,Portuguese (Portugal),pt-PT,MALE,google
pt-PT-Standard-B,Portuguese (Portugal),pt-PT,MALE,google
pt-PT-Wavenet-A,Portuguese (Portugal),pt-PT,FEMALE,google
pt-PT-Wavenet-D,Portuguese (Portugal),pt-PT,FEMALE,google
pt-PT-Wavenet-B,Portuguese (Portugal),pt-PT,MALE,google
pt-PT-Standard-D,Portuguese (Portugal),pt-PT,FEMALE,google
ro-RO-Standard-A,Romanian,ro-RO,FEMALE,google
ro-RO-Wavenet-A,Romanian,ro-RO,FEMALE,google
ru-RU-Standard-A,Russian,ru-RU,FEMALE,google
ru-RU-Standard-D,Russian,ru-RU,MALE,google
ru-RU-Standard-E,Russian,ru-RU,FEMALE,google
ru-RU-Wavenet-A,Russian,ru-RU,FEMALE,google
ru-RU-Wavenet-E,Russian,ru-RU,FEMALE,google
ru-RU-Wavenet-D,Russian,ru-RU,MALE,google
ru-RU-Wavenet-C,Russian,ru-RU,FEMALE,google
ru-RU-Wavenet-B,Russian,ru-RU,MALE,google
ru-RU-Standard-C,Russian,ru-RU,FEMALE,google
ru-RU-Standard-B,Russian,ru-RU,MALE,google
sk-SK-Standard-A,Slovak,sk-SK,FEMALE,google
